year,age_group,variable,yearly_attri
2015,0-20,pm10,10.8790755271912
2015,20-40,flu_a,40.2491331100464
2015,20-40,flu_b,39.6186032295227
2015,20-40,no2,41.9914193153381
2015,20-40,o3,8.43884086608887
2015,20-40,pm10,57.0593423843384
2015,40-65,flu_a,197.278617858887
2015,40-65,flu_b,178.857711791992
2015,40-65,no2,342.563056945801
2015,40-65,o3,25.6573867797852
2015,40-65,pm10,142.184127807617
2015,65-85,flu_a,601.416412353516
2015,65-85,flu_b,1031.72839355469
2015,65-85,no2,1917.38150024414
2015,65-85,o3,42.3535766601562
2015,65-85,pm10,740.760070800781
2015,85+,flu_a,666.350830078125
2015,85+,flu_b,587.167633056641
2015,85+,no2,702.609970092773
2015,85+,o3,58.2345123291016
2015,85+,pm10,169.211761474609
2015,all,flu_a,1796.37353515625
